time =    31402, E0:  en = 0, step = 1, dir = 0, delta = 236323, e0 =     1
time =  4757842, E0:  en = 0, step = 1, dir = 0, delta = 225287, e0 =     2
time =  9263582, E0:  en = 0, step = 1, dir = 0, delta = 214251, e0 =     3
time = 13548602, E0:  en = 0, step = 1, dir = 0, delta = 203215, e0 =     4
time = 17612902, E0:  en = 0, step = 1, dir = 0, delta = 192179, e0 =     5
time = 21456482, E0:  en = 0, step = 1, dir = 0, delta = 181143, e0 =     6
time = 25079342, E0:  en = 0, step = 1, dir = 0, delta = 170107, e0 =     7
time = 28481482, E0:  en = 0, step = 1, dir = 0, delta = 159071, e0 =     8
time = 31662902, E0:  en = 0, step = 1, dir = 0, delta = 148035, e0 =     9
time = 34623602, E0:  en = 0, step = 1, dir = 0, delta = 136999, e0 =    10
time = 37363582, E0:  en = 0, step = 1, dir = 0, delta = 125963, e0 =    11
time = 39882842, E0:  en = 0, step = 1, dir = 0, delta = 114927, e0 =    12
time = 42181382, E0:  en = 0, step = 1, dir = 0, delta = 103891, e0 =    13
time = 44259202, E0:  en = 0, step = 1, dir = 0, delta =  92855, e0 =    14
time = 46116302, E0:  en = 0, step = 1, dir = 0, delta =  81819, e0 =    15
time = 47752682, E0:  en = 0, step = 1, dir = 0, delta =  70783, e0 =    16
time = 49168342, E0:  en = 0, step = 1, dir = 0, delta =  59747, e0 =    17
time = 50363282, E0:  en = 0, step = 1, dir = 0, delta =  48711, e0 =    18
time = 51337502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    19
time = 52311622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    20
time = 53285742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    21
time = 54259862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    22
time = 55233982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    23
time = 56208102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    24
time = 57182222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    25
time = 58156342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    26
time = 59130462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    27
time = 60104582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    28
time = 61078702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    29
time = 62052822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    30
time = 63026942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    31
time = 64001062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    32
time = 64975182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    33
time = 65949302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    34
time = 66923422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    35
time = 67897542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    36
time = 68871662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    37
time = 69845782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    38
time = 70819902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    39
time = 71794022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    40
time = 72768142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    41
time = 73742262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    42
time = 74716382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    43
time = 75690502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    44
time = 76664622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    45
time = 77638742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    46
time = 78612862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    47
time = 79586982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    48
time = 80561102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    49
time = 81535222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    50
