time =    31402, X:  en = 0, step = 1, dir = 0, delta =  50000, x =     1
time =  1031382, X:  en = 0, step = 1, dir = 0, delta =  49520, x =     2
time =  2021782, X:  en = 0, step = 1, dir = 0, delta =  49040, x =     3
time =  3002582, X:  en = 0, step = 1, dir = 0, delta =  48560, x =     4
time =  3973782, X:  en = 0, step = 1, dir = 0, delta =  48080, x =     5
time =  4935382, X:  en = 0, step = 1, dir = 0, delta =  47600, x =     6
time =  5887382, X:  en = 0, step = 1, dir = 0, delta =  47120, x =     7
time =  6829782, X:  en = 0, step = 1, dir = 0, delta =  46640, x =     8
time =  7762582, X:  en = 0, step = 1, dir = 0, delta =  46160, x =     9
time =  8685782, X:  en = 0, step = 1, dir = 0, delta =  45680, x =    10
time =  9599382, X:  en = 0, step = 1, dir = 0, delta =  45200, x =    11
time = 10503382, X:  en = 0, step = 1, dir = 0, delta =  44720, x =    12
time = 11397782, X:  en = 0, step = 1, dir = 0, delta =  44240, x =    13
time = 12282582, X:  en = 0, step = 1, dir = 0, delta =  43760, x =    14
time = 13157782, X:  en = 0, step = 1, dir = 0, delta =  43280, x =    15
time = 14023382, X:  en = 0, step = 1, dir = 0, delta =  42800, x =    16
time = 14879382, X:  en = 0, step = 1, dir = 0, delta =  42320, x =    17
time = 15725782, X:  en = 0, step = 1, dir = 0, delta =  41840, x =    18
time = 16562582, X:  en = 0, step = 1, dir = 0, delta =  41360, x =    19
time = 17389782, X:  en = 0, step = 1, dir = 0, delta =  40880, x =    20
time = 18207382, X:  en = 0, step = 1, dir = 0, delta =  40400, x =    21
time = 19015382, X:  en = 0, step = 1, dir = 0, delta =  39920, x =    22
time = 19813782, X:  en = 0, step = 1, dir = 0, delta =  39440, x =    23
time = 20602582, X:  en = 0, step = 1, dir = 0, delta =  38960, x =    24
time = 21381782, X:  en = 0, step = 1, dir = 0, delta =  38480, x =    25
time = 22151382, X:  en = 0, step = 1, dir = 0, delta =  38000, x =    26
time = 22911382, X:  en = 0, step = 1, dir = 0, delta =  37520, x =    27
time = 23661782, X:  en = 0, step = 1, dir = 0, delta =  37040, x =    28
time = 24402582, X:  en = 0, step = 1, dir = 0, delta =  36560, x =    29
time = 25133782, X:  en = 0, step = 1, dir = 0, delta =  36080, x =    30
time = 25855382, X:  en = 0, step = 1, dir = 0, delta =  35600, x =    31
time = 26567382, X:  en = 0, step = 1, dir = 0, delta =  35120, x =    32
time = 27269782, X:  en = 0, step = 1, dir = 0, delta =  34640, x =    33
time = 27962582, X:  en = 0, step = 1, dir = 0, delta =  34160, x =    34
time = 28645782, X:  en = 0, step = 1, dir = 0, delta =  33680, x =    35
time = 29319382, X:  en = 0, step = 1, dir = 0, delta =  33200, x =    36
time = 29983382, X:  en = 0, step = 1, dir = 0, delta =  32720, x =    37
time = 30637782, X:  en = 0, step = 1, dir = 0, delta =  32240, x =    38
time = 31282582, X:  en = 0, step = 1, dir = 0, delta =  31760, x =    39
