time =    31402, Y:  en = 0, step = 1, dir = 0, delta = 151502, y =     1
time =  3061422, Y:  en = 0, step = 1, dir = 0, delta = 147018, y =     2
time =  6001782, Y:  en = 0, step = 1, dir = 0, delta = 142534, y =     3
time =  8852462, Y:  en = 0, step = 1, dir = 0, delta = 138050, y =     4
time = 11613462, Y:  en = 0, step = 1, dir = 0, delta = 133566, y =     5
time = 14284782, Y:  en = 0, step = 1, dir = 0, delta = 129082, y =     6
time = 16866422, Y:  en = 0, step = 1, dir = 0, delta = 124598, y =     7
time = 19358382, Y:  en = 0, step = 1, dir = 0, delta = 120114, y =     8
time = 21760662, Y:  en = 0, step = 1, dir = 0, delta = 115630, y =     9
time = 24073262, Y:  en = 0, step = 1, dir = 0, delta = 111146, y =    10
time = 26296182, Y:  en = 0, step = 1, dir = 0, delta = 106662, y =    11
time = 28429422, Y:  en = 0, step = 1, dir = 0, delta = 102178, y =    12
time = 30472982, Y:  en = 0, step = 1, dir = 0, delta =  97694, y =    13
time = 32426862, Y:  en = 0, step = 1, dir = 0, delta =  93210, y =    14
time = 34291062, Y:  en = 0, step = 1, dir = 0, delta =  88726, y =    15
time = 36065582, Y:  en = 0, step = 1, dir = 0, delta =  84242, y =    16
time = 37750422, Y:  en = 0, step = 1, dir = 0, delta =  79758, y =    17
time = 39345582, Y:  en = 0, step = 1, dir = 0, delta =  75274, y =    18
time = 40851062, Y:  en = 0, step = 1, dir = 0, delta =  70790, y =    19
time = 42266862, Y:  en = 0, step = 1, dir = 0, delta =  66306, y =    20
time = 43592982, Y:  en = 0, step = 1, dir = 0, delta =  61822, y =    21
time = 44829422, Y:  en = 0, step = 1, dir = 0, delta =  57338, y =    22
time = 45976182, Y:  en = 0, step = 1, dir = 0, delta =  52854, y =    23
time = 47033262, Y:  en = 0, step = 1, dir = 0, delta =  48370, y =    24
time = 48000662, Y:  en = 0, step = 1, dir = 0, delta =  43886, y =    25
time = 48878382, Y:  en = 0, step = 1, dir = 0, delta =  39402, y =    26
time = 49666422, Y:  en = 0, step = 1, dir = 0, delta =  34918, y =    27
time = 50364782, Y:  en = 0, step = 1, dir = 0, delta =  30434, y =    28
time = 50973462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    29
time = 51581962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    30
time = 52190462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    31
time = 52798962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    32
time = 53407462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    33
time = 54015962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    34
time = 54624462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    35
