time =    31402, Z:  en = 0, step = 1, dir = 0, delta = 307490, z =     1
time =  6181182, Z:  en = 0, step = 1, dir = 0, delta = 288506, z =     2
time = 11951302, Z:  en = 0, step = 1, dir = 0, delta = 269522, z =     3
time = 17341742, Z:  en = 0, step = 1, dir = 0, delta = 250538, z =     4
time = 22352502, Z:  en = 0, step = 1, dir = 0, delta = 231554, z =     5
time = 26983582, Z:  en = 0, step = 1, dir = 0, delta = 212570, z =     6
time = 31234982, Z:  en = 0, step = 1, dir = 0, delta = 193586, z =     7
time = 35106702, Z:  en = 0, step = 1, dir = 0, delta = 174602, z =     8
time = 38598742, Z:  en = 0, step = 1, dir = 0, delta = 155618, z =     9
time = 41711102, Z:  en = 0, step = 1, dir = 0, delta = 136634, z =    10
time = 44443782, Z:  en = 0, step = 1, dir = 0, delta = 117650, z =    11
time = 46796782, Z:  en = 0, step = 1, dir = 0, delta =  98666, z =    12
time = 48770102, Z:  en = 0, step = 1, dir = 0, delta =  79682, z =    13
time = 50363742, Z:  en = 0, step = 1, dir = 0, delta =  60698, z =    14
time = 51577702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    15
time = 52791462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    16
time = 54005222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    17
time = 55218982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    18
time = 56432742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    19
time = 57646502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    20
time = 58860262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    21
time = 60074022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    22
time = 61287782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    23
time = 62501542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    24
time = 63715302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    25
time = 64929062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    26
time = 66142822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    27
time = 67356582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    28
time = 68570342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    29
time = 69784102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    30
time = 70997862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    31
time = 72211622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    32
time = 73425382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    33
time = 74639142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    34
time = 75852902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    35
time = 77066662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    36
time = 78280422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    37
time = 79494182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    38
time = 80707942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    39
time = 81921702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    40
time = 83135462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    41
time = 84349222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    42
time = 85562982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    43
time = 86776742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    44
time = 87990502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    45
time = 89204262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    46
time = 90418022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    47
time = 91631782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    48
time = 92845542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    49
time = 94059302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    50
time = 95273062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    51
time = 96486822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    52
time = 97700582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    53
time = 98914342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    54
time = 100128102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    55
time = 101341862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    56
time = 102555622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    57
time = 103769382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    58
time = 104983142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    59
time = 106196902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    60
time = 107410662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    61
time = 108624422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    62
time = 109838182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    63
time = 111051942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    64
time = 112265702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    65
time = 113479462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    66
time = 114693222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    67
time = 115906982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    68
time = 117120742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    69
time = 118334502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    70
time = 119548262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    71
time = 120762022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    72
time = 121975782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    73
time = 123189542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    74
time = 124403302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    75
time = 125617062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    76
time = 126830822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    77
time = 128044582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    78
time = 129258342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    79
time = 130472102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    80
time = 131685862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    81
time = 132899622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    82
time = 134113382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    83
time = 135327142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    84
time = 136540902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    85
time = 137754662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    86
time = 138968422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    87
time = 140182182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    88
time = 141395942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    89
time = 142609702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    90
time = 143823462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    91
time = 145037222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    92
time = 146250982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    93
time = 147464742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    94
time = 148678502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    95
time = 149892262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    96
time = 151106022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    97
time = 152319782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    98
time = 153533542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =    99
time = 154747302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   100
time = 155961062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   101
time = 157174822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   102
time = 158388582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   103
time = 159602342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   104
time = 160816102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   105
time = 162029862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   106
time = 163243622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   107
time = 164457382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   108
time = 165671142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   109
time = 166884902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   110
time = 168098662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   111
time = 169312422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   112
time = 170526182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   113
time = 171739942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   114
time = 172953702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   115
time = 174167462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   116
time = 175381222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   117
time = 176594982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   118
time = 177808742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   119
time = 179022502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   120
time = 180236262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   121
time = 181450022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   122
time = 182663782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   123
time = 183877542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   124
time = 185091302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   125
time = 186305062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   126
time = 187518822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   127
time = 188732582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   128
time = 189946342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   129
time = 191160102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   130
time = 192373862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   131
time = 193587622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   132
time = 194801382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   133
time = 196015142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   134
time = 197228902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   135
time = 198442662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   136
time = 199656422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   137
time = 200870182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   138
time = 202083942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   139
time = 203297702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   140
time = 204511462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   141
time = 205725222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   142
time = 206938982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   143
time = 208152742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   144
time = 209366502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   145
time = 210580262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   146
time = 211794022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   147
time = 213007782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   148
time = 214221542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   149
time = 215435302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   150
time = 216649062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   151
time = 217862822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   152
time = 219076582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   153
time = 220290342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   154
time = 221504102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   155
time = 222717862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   156
time = 223931622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   157
time = 225145382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   158
time = 226359142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   159
time = 227572902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   160
time = 228786662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   161
time = 230000422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   162
time = 231214182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   163
time = 232427942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   164
time = 233641702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   165
time = 234855462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   166
time = 236069222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   167
time = 237282982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   168
time = 238496742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   169
time = 239710502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   170
time = 240924262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   171
time = 242138022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   172
time = 243351782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   173
time = 244565542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   174
time = 245779302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   175
time = 246993062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   176
time = 248206822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   177
time = 249420582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   178
time = 250634342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   179
time = 251848102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   180
time = 253061862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   181
time = 254275622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   182
time = 255489382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   183
time = 256703142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   184
time = 257916902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   185
time = 259130662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   186
time = 260344422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   187
time = 261558182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   188
time = 262771942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   189
time = 263985702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   190
time = 265199462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   191
time = 266413222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   192
time = 267626982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   193
time = 268840742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   194
time = 270054502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   195
