time =    31402, E1:  en = 0, step = 1, dir = 0, delta = 267284, e1 =     1
time =  5377062, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =     2
time =  6457882, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =     3
time =  7538702, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =     4
time =  8619522, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =     5
time =  9700342, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =     6
time = 10781162, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =     7
time = 11861982, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =     8
time = 12942802, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =     9
time = 14023622, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    10
time = 15104442, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    11
time = 16185262, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    12
time = 17266082, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    13
time = 18346902, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    14
time = 19427722, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    15
time = 20508542, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    16
time = 21589362, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    17
time = 22670182, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    18
time = 23751002, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    19
time = 24831822, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    20
time = 25912642, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    21
time = 26993462, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    22
time = 28074282, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    23
time = 29155102, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    24
time = 30235922, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    25
time = 31316742, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    26
time = 32397562, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    27
time = 33478382, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    28
time = 34559202, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    29
time = 35640022, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    30
time = 36720842, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    31
time = 37801662, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    32
time = 38882482, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    33
time = 39963302, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    34
time = 41044122, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    35
time = 42124942, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    36
time = 43205762, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    37
time = 44286582, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    38
time = 45367402, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    39
time = 46448222, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    40
time = 47529042, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    41
time = 48609862, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    42
time = 49690682, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    43
time = 50771502, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    44
time = 51852322, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    45
time = 52933142, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    46
time = 54013962, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    47
time = 55094782, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    48
time = 56175602, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    49
time = 57256422, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    50
time = 58337242, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    51
time = 59418062, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    52
time = 60498882, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    53
time = 61579702, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    54
time = 62660522, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    55
time = 63741342, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    56
time = 64822162, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    57
time = 65902982, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    58
time = 66983802, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    59
time = 68064622, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    60
time = 69145442, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    61
time = 70226262, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    62
time = 71307082, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    63
time = 72387902, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    64
time = 73468722, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    65
time = 74549542, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    66
time = 75630362, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    67
time = 76711182, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    68
time = 77792002, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    69
time = 78872822, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    70
time = 79953642, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    71
time = 81034462, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    72
time = 82115282, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    73
